model,group_field,group,N,students,questions,prevalence,status,ROC_AUC,AP_correct,AP_incorrect,Log_Loss,Brier,ECE15,Calibration_Intercept,Calibration_Slope,Accuracy,NA_reason
AdaptiveMath-AI,history_bin,"(19.0, 49.0]",29195,1175,12561,0.6669977735913684,estimable,0.7411386041531918,0.8453387944832202,0.5639041488710526,0.5534820692637399,0.18735292191579195,0.010604808290783065,-0.003917251639794395,1.0390897291484371,0.713341325569415,
HGB100,history_bin,"(19.0, 49.0]",29195,1175,12561,0.6669977735913684,estimable,0.735722525958721,0.8411794799171364,0.5554399714941332,0.5573731323218974,0.18891365083084483,0.008945808974419973,0.01897745153375302,1.000618558279079,0.7122109950333644,
AdaptiveMath-AI,history_bin,"(4.0, 9.0]",3479,700,2590,0.6930152342627192,estimable,0.723256547316684,0.8448202226514745,0.5203785990061027,0.5500597481039712,0.18506535177460937,0.017656446549740756,0.0710848895535472,1.0151887067796197,0.7217591261856879,
HGB100,history_bin,"(4.0, 9.0]",3479,700,2590,0.6930152342627192,estimable,0.7138839308599634,0.8382146633860166,0.5197451999876743,0.5549147287818489,0.18699205508079209,0.018696512114593947,0.09320074978207396,0.9721122847796917,0.716585225639554,
AdaptiveMath-AI,history_bin,"(49.0, inf]",99180,1336,18407,0.6359245815688647,estimable,0.7740791661902175,0.8575489472891146,0.630610905444005,0.5403718328115135,0.18299384709597638,0.006418913883834923,-0.026813472984426344,1.024024763631856,0.7211534583585828,
HGB100,history_bin,"(49.0, inf]",99180,1336,18407,0.6359245815688647,estimable,0.7706507058351855,0.855406413465023,0.6259611932655186,0.5430653437252366,0.18420447351803332,0.00619044516972293,-0.023738585033661486,1.009483470877907,0.7191873361565257,
AdaptiveMath-AI,history_bin,"(9.0, 19.0]",7999,832,5246,0.6753344168021003,estimable,0.7408661661698943,0.8494825142737785,0.547448930800389,0.5497860857116916,0.18581880724138675,0.018105851954527033,-0.025833881737749566,1.0577335267530614,0.7194649331166447,
HGB100,history_bin,"(9.0, 19.0]",7999,832,5246,0.6753344168021003,estimable,0.7340969708876097,0.8454223112657635,0.5373404189112935,0.5541325960037864,0.18764850706207192,0.014526509723302558,0.003682070812629071,1.0204511083357148,0.713839229903743,
AdaptiveMath-AI,route,parent,127,75,65,0.5826771653543307,estimable,0.7914329423763385,0.8679856298428069,0.6777733673554023,0.5857007749243696,0.20620519359525002,0.1798882879480575,-1.1059064060762125,1.6162226175825334,0.6456692913385826,
HGB100,route,parent,127,75,65,0.5826771653543307,estimable,0.8074961754207036,0.8806990658876275,0.6980721218340229,0.5781412533280452,0.20304850500023988,0.1882257244231181,-1.1526461458389867,1.691794301537175,0.6456692913385826,
AdaptiveMath-AI,route,question,102564,1646,13171,0.6364806364806365,estimable,0.7673632642402584,0.8515442203722188,0.6221283167102966,0.5468281738916027,0.18530046638626485,0.010006928589920673,-0.02687676543820795,1.041310685501208,0.7174154674154293,
HGB100,route,question,102564,1646,13171,0.6364806364806365,estimable,0.7615002302970988,0.8473745628112609,0.6152973683152907,0.5514335142058451,0.18724563717961784,0.006753110235828274,-0.020705805736222264,1.0143753842911356,0.7147342147341768,
AdaptiveMath-AI,route,subject,40790,1509,13419,0.6749938710468252,estimable,0.7525653738953241,0.8603240236365364,0.5771308769996256,0.5382454921491681,0.18167404714855362,0.006598443326173673,0.009096632780107444,0.9970671184683466,0.7247364550134379,
HGB100,route,subject,40790,1509,13419,0.6749938710468252,estimable,0.7529833503831567,0.8610487634330439,0.5758077403679869,0.5378877817112341,0.1816201893486215,0.006908553167856996,0.01797437780076908,0.9923987428860167,0.7239274331943646,
AdaptiveMath-AI,route,zero,84,14,48,0.8214285714285714,low_support,,,,,,,,,,
HGB100,route,zero,84,14,48,0.8214285714285714,low_support,,,,,,,,,,
AdaptiveMath-AI,support_bin,"(-1.0, 0.0]",84,14,48,0.8214285714285714,low_support,,,,,,,,,,
HGB100,support_bin,"(-1.0, 0.0]",84,14,48,0.8214285714285714,low_support,,,,,,,,,,
AdaptiveMath-AI,support_bin,"(0.0, 4.0]",64877,1628,12338,0.6381768577461967,estimable,0.7646239236771792,0.8502054986752258,0.6167099720262283,0.5485238852251757,0.18597083960207933,0.009766530627754847,-0.03097827266810027,1.037520550357247,0.7157081862601973,
HGB100,support_bin,"(0.0, 4.0]",64877,1628,12338,0.6381768577461967,estimable,0.7611558541925417,0.8476595065360091,0.6121984730999698,0.5512600929867572,0.18710361408234308,0.007510923298673272,-0.023206674343142296,1.0169134959658668,0.7148450144119305,
AdaptiveMath-AI,support_bin,"(19.0, 49.0]",3649,818,1125,0.6166072896684023,estimable,0.7533123659756961,0.8342059784204647,0.6074727806256335,0.5670017328497581,0.19392177813445147,0.024734106902142217,-0.009994391181415551,0.9729394243863932,0.7026582625376796,
HGB100,support_bin,"(19.0, 49.0]",3649,818,1125,0.6166072896684023,estimable,0.7466452227781741,0.8296278860403181,0.6051525129467584,0.5716796731222897,0.19608928980135026,0.025944075998035776,-0.059446471576556435,0.9686765485952543,0.6985475472732237,
AdaptiveMath-AI,support_bin,"(4.0, 9.0]",26236,1473,4694,0.6351196828784875,estimable,0.7715238718861069,0.8542681435195552,0.6299210403388888,0.5434898157399513,0.18401171121098403,0.009835283246398797,-0.010426758414457586,1.0538730889284564,0.7201936270773313,
HGB100,support_bin,"(4.0, 9.0]",26236,1473,4694,0.6351196828784875,estimable,0.7632510584481595,0.8489112389335678,0.6211740612163904,0.5499319853598099,0.18683298517377328,0.006404909370646237,-0.00550789263313515,1.0193913221284143,0.7146287543833221,
